package_name,banned_versions,severity,weekly_downloads,first_detected,patient_zero,description,attack_vector,priority
@ahmedhfarag/ngx-perfect-scrollbar,20.0.20,medium,1000,2025-09-15,false,Compromised package: @ahmedhfarag/ngx-perfect-scrollbar,postinstall script,3
@ahmedhfarag/ngx-virtual-scroller,4.0.4,medium,1000,2025-09-15,false,Compromised package: @ahmedhfarag/ngx-virtual-scroller,postinstall script,3
@art-ws/common,"2.0.22, 2.0.28",medium,1000,2025-09-15,false,Compromised package: @art-ws/common,postinstall script,3
@art-ws/config-eslint,"2.0.4, 2.0.5",medium,1000,2025-09-15,false,Compromised package: @art-ws/config-eslint,postinstall script,3
@art-ws/config-ts,"2.0.7, 2.0.8",medium,1000,2025-09-15,false,Compromised package: @art-ws/config-ts,postinstall script,3
@art-ws/db-context,"2.0.21, 2.0.24",medium,1000,2025-09-15,false,Compromised package: @art-ws/db-context,postinstall script,3
@art-ws/di,"2.0.28, 2.0.32",medium,1000,2025-09-15,false,Compromised package: @art-ws/di,postinstall script,3
@art-ws/di-node,2.0.13,medium,1000,2025-09-15,false,Compromised package: @art-ws/di-node,postinstall script,3
@art-ws/eslint,"1.0.5, 1.0.6",medium,1000,2025-09-15,false,Compromised package: @art-ws/eslint,postinstall script,3
@art-ws/fastify-http-server,"2.0.24, 2.0.27",medium,1000,2025-09-15,false,Compromised package: @art-ws/fastify-http-server,postinstall script,3
@art-ws/http-server,"2.0.21, 2.0.25",medium,1000,2025-09-15,false,Compromised package: @art-ws/http-server,postinstall script,3
@art-ws/openapi,"0.1.12, 0.1.9",medium,1000,2025-09-15,false,Compromised package: @art-ws/openapi,postinstall script,3
@art-ws/package-base,"1.0.5, 1.0.6",medium,1000,2025-09-15,false,Compromised package: @art-ws/package-base,postinstall script,3
@art-ws/prettier,"1.0.5, 1.0.6",medium,1000,2025-09-15,false,Compromised package: @art-ws/prettier,postinstall script,3
@art-ws/slf,"2.0.15, 2.0.22",medium,1000,2025-09-15,false,Compromised package: @art-ws/slf,postinstall script,3
@art-ws/ssl-info,"1.0.10, 1.0.9",medium,1000,2025-09-15,false,Compromised package: @art-ws/ssl-info,postinstall script,3
@art-ws/web-app,"1.0.3, 1.0.4",medium,1000,2025-09-15,false,Compromised package: @art-ws/web-app,postinstall script,3
@basic-ui-components-stc/basic-ui-components,1.0.5,medium,1000,2025-09-15,false,Compromised package: @basic-ui-components-stc/basic-ui-components,postinstall script,3
@crowdstrike/commitlint,"8.1.1, 8.1.2",high,15000,2025-09-15,false,Compromised package: @crowdstrike/commitlint,postinstall script,2
@crowdstrike/falcon-shoelace,"0.4.1, 0.4.2",high,15000,2025-09-15,false,Compromised package: @crowdstrike/falcon-shoelace,postinstall script,2
@crowdstrike/foundry-js,"0.19.1, 0.19.2",high,15000,2025-09-15,false,Compromised package: @crowdstrike/foundry-js,postinstall script,2
@crowdstrike/glide-core,"0.34.2, 0.34.3",high,15000,2025-09-15,false,Compromised package: @crowdstrike/glide-core,postinstall script,2
@crowdstrike/logscale-dashboard,"1.205.1, 1.205.2",high,15000,2025-09-15,false,Compromised package: @crowdstrike/logscale-dashboard,postinstall script,2
@crowdstrike/logscale-file-editor,"1.205.1, 1.205.2",high,15000,2025-09-15,false,Compromised package: @crowdstrike/logscale-file-editor,postinstall script,2
@crowdstrike/logscale-parser-edit,"1.205.1, 1.205.2",high,15000,2025-09-15,false,Compromised package: @crowdstrike/logscale-parser-edit,postinstall script,2
@crowdstrike/logscale-search,"1.205.1, 1.205.2",high,15000,2025-09-15,false,Compromised package: @crowdstrike/logscale-search,postinstall script,2
@crowdstrike/tailwind-toucan-base,"5.0.1, 5.0.2",high,15000,2025-09-15,false,Compromised package: @crowdstrike/tailwind-toucan-base,postinstall script,2
@ctrl/deluge,"7.2.2, 7.2.1",critical,2200000,2025-09-15,false,Compromised package: @ctrl/deluge,postinstall script,1
@ctrl/golang-template,"1.4.3, 1.4.2",high,50000,2025-09-15,false,Compromised package: @ctrl/golang-template,postinstall script,2
@ctrl/magnet-link,"4.0.4, 4.0.3",high,50000,2025-09-15,false,Compromised package: @ctrl/magnet-link,postinstall script,2
