package_name,banned_versions,severity,weekly_downloads,first_detected,patient_zero,description,attack_vector,priority
02-echo,0.0.7,medium,1000,2025-09-15,false,Compromised package: 02-echo,postinstall script,3
@accordproject/concerto-analysis,3.24.1,medium,1000,2025-09-15,false,Compromised package: @accordproject/concerto-analysis,postinstall script,3
@accordproject/concerto-linter,3.24.1,medium,1000,2025-09-15,false,Compromised package: @accordproject/concerto-linter,postinstall script,3
@accordproject/concerto-linter-default-ruleset,3.24.1,medium,1000,2025-09-15,false,Compromised package: @accordproject/concerto-linter-default-ruleset,postinstall script,3
@accordproject/concerto-metamodel,3.12.5,medium,1000,2025-09-15,false,Compromised package: @accordproject/concerto-metamodel,postinstall script,3
@accordproject/concerto-types,3.24.1,medium,1000,2025-09-15,false,Compromised package: @accordproject/concerto-types,postinstall script,3
@accordproject/markdown-it-cicero,0.16.26,medium,1000,2025-09-15,false,Compromised package: @accordproject/markdown-it-cicero,postinstall script,3
@accordproject/template-engine,2.7.2,medium,1000,2025-09-15,false,Compromised package: @accordproject/template-engine,postinstall script,3
@actbase/css-to-react-native-transform,1.0.3,medium,1000,2025-09-15,false,Compromised package: @actbase/css-to-react-native-transform,postinstall script,3
@actbase/native,0.1.32,medium,1000,2025-09-15,false,Compromised package: @actbase/native,postinstall script,3
@actbase/node-server,1.1.19,medium,1000,2025-09-15,false,Compromised package: @actbase/node-server,postinstall script,3
@actbase/react-absolute,0.8.3,medium,1000,2025-09-15,false,Compromised package: @actbase/react-absolute,postinstall script,3
@actbase/react-daum-postcode,1.0.5,medium,1000,2025-09-15,false,Compromised package: @actbase/react-daum-postcode,postinstall script,3
@actbase/react-kakaosdk,0.9.27,medium,1000,2025-09-15,false,Compromised package: @actbase/react-kakaosdk,postinstall script,3
@actbase/react-native-actionsheet,1.0.3,medium,1000,2025-09-15,false,Compromised package: @actbase/react-native-actionsheet,postinstall script,3
@actbase/react-native-devtools,0.1.3,medium,1000,2025-09-15,false,Compromised package: @actbase/react-native-devtools,postinstall script,3
@actbase/react-native-fast-image,8.5.13,medium,1000,2025-09-15,false,Compromised package: @actbase/react-native-fast-image,postinstall script,3
@actbase/react-native-kakao-channel,1.0.2,medium,1000,2025-09-15,false,Compromised package: @actbase/react-native-kakao-channel,postinstall script,3
@actbase/react-native-kakao-navi,2.0.4,medium,1000,2025-09-15,false,Compromised package: @actbase/react-native-kakao-navi,postinstall script,3
@actbase/react-native-less-transformer,1.0.6,medium,1000,2025-09-15,false,Compromised package: @actbase/react-native-less-transformer,postinstall script,3
@actbase/react-native-naver-login,1.0.1,medium,1000,2025-09-15,false,Compromised package: @actbase/react-native-naver-login,postinstall script,3
@actbase/react-native-simple-video,1.0.13,medium,1000,2025-09-15,false,Compromised package: @actbase/react-native-simple-video,postinstall script,3
@actbase/react-native-tiktok,1.1.3,medium,1000,2025-09-15,false,Compromised package: @actbase/react-native-tiktok,postinstall script,3
@afetcan/api,0.0.13,medium,1000,2025-09-15,false,Compromised package: @afetcan/api,postinstall script,3
@afetcan/storage,0.0.27,medium,1000,2025-09-15,false,Compromised package: @afetcan/storage,postinstall script,3
@alaan/s2s-auth,2.0.3,medium,1000,2025-09-15,false,Compromised package: @alaan/s2s-auth,postinstall script,3
@alexadark/amadeus-api,1.0.4,medium,1000,2025-09-15,false,Compromised package: @alexadark/amadeus-api,postinstall script,3
@alexadark/gatsby-theme-events,1.0.1,medium,1000,2025-09-15,false,Compromised package: @alexadark/gatsby-theme-events,postinstall script,3
@alexadark/gatsby-theme-wordpress-blog,2.0.1,medium,1000,2025-09-15,false,Compromised package: @alexadark/gatsby-theme-wordpress-blog,postinstall script,3
@alexadark/reusable-functions,1.5.1,medium,1000,2025-09-15,false,Compromised package: @alexadark/reusable-functions,postinstall script,3
@alexcolls/nuxt-socket.io,"0.0.7, 0.0.8",medium,1000,2025-09-15,false,Compromised package: @alexcolls/nuxt-socket.io,postinstall script,3
@alexcolls/nuxt-ux,"0.6.1, 0.6.2",medium,1000,2025-09-15,false,Compromised package: @alexcolls/nuxt-ux,postinstall script,3
@antstackio/eslint-config-antstack,0.0.3,medium,1000,2025-09-15,false,Compromised package: @antstackio/eslint-config-antstack,postinstall script,3
@antstackio/express-graphql-proxy,0.2.8,medium,1000,2025-09-15,false,Compromised package: @antstackio/express-graphql-proxy,postinstall script,3
@antstackio/graphql-body-parser,0.1.1,medium,1000,2025-09-15,false,Compromised package: @antstackio/graphql-body-parser,postinstall script,3
@antstackio/json-to-graphql,1.0.3,medium,1000,2025-09-15,false,Compromised package: @antstackio/json-to-graphql,postinstall script,3
@antstackio/shelbysam,1.1.7,medium,1000,2025-09-15,false,Compromised package: @antstackio/shelbysam,postinstall script,3
@aryanhussain/my-angular-lib,0.0.23,medium,1000,2025-09-15,false,Compromised package: @aryanhussain/my-angular-lib,postinstall script,3
@asyncapi/avro-schema-parser,"3.0.25, 3.0.26",medium,1000,2025-09-15,false,Compromised package: @asyncapi/avro-schema-parser,postinstall script,3
@asyncapi/bundler,"0.6.5, 0.6.6",medium,1000,2025-09-15,false,Compromised package: @asyncapi/bundler,postinstall script,3
@asyncapi/cli,"4.1.3, 4.1.2",medium,1000,2025-09-15,false,Compromised package: @asyncapi/cli,postinstall script,3
@asyncapi/converter,"1.6.3, 1.6.4",medium,1000,2025-09-15,false,Compromised package: @asyncapi/converter,postinstall script,3
@asyncapi/diff,"0.5.1, 0.5.2",medium,1000,2025-09-15,false,Compromised package: @asyncapi/diff,postinstall script,3
@asyncapi/dotnet-rabbitmq-template,"1.0.2, 1.0.1",medium,1000,2025-09-15,false,Compromised package: @asyncapi/dotnet-rabbitmq-template,postinstall script,3
@asyncapi/edavisualiser,"1.2.2, 1.2.1",medium,1000,2025-09-15,false,Compromised package: @asyncapi/edavisualiser,postinstall script,3
@asyncapi/generator,"2.8.5, 2.8.6",medium,1000,2025-09-15,false,Compromised package: @asyncapi/generator,postinstall script,3
@asyncapi/generator-components,"0.3.2, 0.3.3",medium,1000,2025-09-15,false,Compromised package: @asyncapi/generator-components,postinstall script,3
@asyncapi/generator-helpers,"0.2.1, 0.2.2",medium,1000,2025-09-15,false,Compromised package: @asyncapi/generator-helpers,postinstall script,3
@asyncapi/generator-react-sdk,"1.1.5, 1.1.4",medium,1000,2025-09-15,false,Compromised package: @asyncapi/generator-react-sdk,postinstall script,3
@asyncapi/go-watermill-template,"0.2.77, 0.2.76",medium,1000,2025-09-15,false,Compromised package: @asyncapi/go-watermill-template,postinstall script,3
@asyncapi/html-template,"3.3.2, 3.3.3",medium,1000,2025-09-15,false,Compromised package: @asyncapi/html-template,postinstall script,3
@asyncapi/java-spring-cloud-stream-template,"0.13.5, 0.13.6",medium,1000,2025-09-15,false,Compromised package: @asyncapi/java-spring-cloud-stream-template,postinstall script,3
@asyncapi/java-spring-template,"1.6.2, 1.6.1",medium,1000,2025-09-15,false,Compromised package: @asyncapi/java-spring-template,postinstall script,3
@asyncapi/java-template,"0.3.6, 0.3.5",medium,1000,2025-09-15,false,Compromised package: @asyncapi/java-template,postinstall script,3
@asyncapi/keeper,"0.0.2, 0.0.3",medium,1000,2025-09-15,false,Compromised package: @asyncapi/keeper,postinstall script,3
@asyncapi/markdown-template,"1.6.8, 1.6.9",medium,1000,2025-09-15,false,Compromised package: @asyncapi/markdown-template,postinstall script,3
@asyncapi/modelina,"5.10.3, 5.10.2",medium,1000,2025-09-15,false,Compromised package: @asyncapi/modelina,postinstall script,3
@asyncapi/modelina-cli,"5.10.3, 5.10.2",medium,1000,2025-09-15,false,Compromised package: @asyncapi/modelina-cli,postinstall script,3
@asyncapi/multi-parser,"2.2.1, 2.2.2",medium,1000,2025-09-15,false,Compromised package: @asyncapi/multi-parser,postinstall script,3
@asyncapi/nodejs-template,"3.0.6, 3.0.5",medium,1000,2025-09-15,false,Compromised package: @asyncapi/nodejs-template,postinstall script,3
@asyncapi/nodejs-ws-template,"0.10.1, 0.10.2",medium,1000,2025-09-15,false,Compromised package: @asyncapi/nodejs-ws-template,postinstall script,3
@asyncapi/nunjucks-filters,"2.1.1, 2.1.2",medium,1000,2025-09-15,false,Compromised package: @asyncapi/nunjucks-filters,postinstall script,3
@asyncapi/openapi-schema-parser,"3.0.25, 3.0.26",medium,1000,2025-09-15,false,Compromised package: @asyncapi/openapi-schema-parser,postinstall script,3
@asyncapi/optimizer,"1.0.6, 1.0.5",medium,1000,2025-09-15,false,Compromised package: @asyncapi/optimizer,postinstall script,3
@asyncapi/parser,"3.4.1, 3.4.2",medium,1000,2025-09-15,false,Compromised package: @asyncapi/parser,postinstall script,3
@asyncapi/php-template,"0.1.1, 0.1.2",medium,1000,2025-09-15,false,Compromised package: @asyncapi/php-template,postinstall script,3
@asyncapi/problem,"1.0.2, 1.0.1",medium,1000,2025-09-15,false,Compromised package: @asyncapi/problem,postinstall script,3
@asyncapi/protobuf-schema-parser,"3.5.2, 3.6.1, 3.5.3",medium,1000,2025-09-15,false,Compromised package: @asyncapi/protobuf-schema-parser,postinstall script,3
@asyncapi/python-paho-template,"0.2.15, 0.2.14",medium,1000,2025-09-15,false,Compromised package: @asyncapi/python-paho-template,postinstall script,3
@asyncapi/react-component,"2.6.7, 2.6.6",medium,1000,2025-09-15,false,Compromised package: @asyncapi/react-component,postinstall script,3
@asyncapi/server-api,"0.16.24, 0.16.25",medium,1000,2025-09-15,false,Compromised package: @asyncapi/server-api,postinstall script,3
@asyncapi/specs,"6.9.1, 6.10.1, 6.8.3, 6.8.2",medium,1000,2025-09-15,false,Compromised package: @asyncapi/specs,postinstall script,3
@asyncapi/studio,"1.0.3, 1.0.2",medium,1000,2025-09-15,false,Compromised package: @asyncapi/studio,postinstall script,3
@asyncapi/web-component,"2.6.7, 2.6.6",medium,1000,2025-09-15,false,Compromised package: @asyncapi/web-component,postinstall script,3
@bdkinc/knex-ibmi,0.5.7,medium,1000,2025-09-15,false,Compromised package: @bdkinc/knex-ibmi,postinstall script,3
@browserbasehq/bb9,1.2.21,medium,1000,2025-09-15,false,Compromised package: @browserbasehq/bb9,postinstall script,3
@browserbasehq/director-ai,1.0.3,medium,1000,2025-09-15,false,Compromised package: @browserbasehq/director-ai,postinstall script,3
@browserbasehq/mcp,2.1.1,medium,1000,2025-09-15,false,Compromised package: @browserbasehq/mcp,postinstall script,3
@browserbasehq/mcp-server-browserbase,2.4.2,medium,1000,2025-09-15,false,Compromised package: @browserbasehq/mcp-server-browserbase,postinstall script,3
@browserbasehq/sdk-functions,0.0.4,medium,1000,2025-09-15,false,Compromised package: @browserbasehq/sdk-functions,postinstall script,3
@browserbasehq/stagehand,3.0.4,medium,1000,2025-09-15,false,Compromised package: @browserbasehq/stagehand,postinstall script,3
@browserbasehq/stagehand-docs,1.0.1,medium,1000,2025-09-15,false,Compromised package: @browserbasehq/stagehand-docs,postinstall script,3
@caretive/caret-cli,0.0.2,medium,1000,2025-09-15,false,Compromised package: @caretive/caret-cli,postinstall script,3
@chtijs/eslint-config,1.0.1,medium,1000,2025-09-15,false,Compromised package: @chtijs/eslint-config,postinstall script,3
@clausehq/flows-step-httprequest,0.1.14,medium,1000,2025-09-15,false,Compromised package: @clausehq/flows-step-httprequest,postinstall script,3
@clausehq/flows-step-jsontoxml,0.1.14,medium,1000,2025-09-15,false,Compromised package: @clausehq/flows-step-jsontoxml,postinstall script,3
@clausehq/flows-step-mqtt,0.1.14,medium,1000,2025-09-15,false,Compromised package: @clausehq/flows-step-mqtt,postinstall script,3
@clausehq/flows-step-sendgridemail,0.1.14,medium,1000,2025-09-15,false,Compromised package: @clausehq/flows-step-sendgridemail,postinstall script,3
@clausehq/flows-step-taskscreateurl,0.1.14,medium,1000,2025-09-15,false,Compromised package: @clausehq/flows-step-taskscreateurl,postinstall script,3
@cllbk/ghl,1.3.1,medium,1000,2025-09-15,false,Compromised package: @cllbk/ghl,postinstall script,3
@commute/bloom,1.0.3,medium,1000,2025-09-15,false,Compromised package: @commute/bloom,postinstall script,3
@commute/market-data,1.0.2,medium,1000,2025-09-15,false,Compromised package: @commute/market-data,postinstall script,3
@commute/market-data-chartjs,2.3.1,medium,1000,2025-09-15,false,Compromised package: @commute/market-data-chartjs,postinstall script,3
@dev-blinq/ai-qa-logic,1.0.19,medium,1000,2025-09-15,false,Compromised package: @dev-blinq/ai-qa-logic,postinstall script,3
@dev-blinq/blinqioclient,1.0.21,medium,1000,2025-09-15,false,Compromised package: @dev-blinq/blinqioclient,postinstall script,3
@dev-blinq/cucumber-js,1.0.131,medium,1000,2025-09-15,false,Compromised package: @dev-blinq/cucumber-js,postinstall script,3
@dev-blinq/cucumber_client,1.0.738,medium,1000,2025-09-15,false,Compromised package: @dev-blinq/cucumber_client,postinstall script,3
@dev-blinq/ui-systems,1.0.93,medium,1000,2025-09-15,false,Compromised package: @dev-blinq/ui-systems,postinstall script,3
@ensdomains/address-encoder,1.1.5,medium,1000,2025-09-15,false,Compromised package: @ensdomains/address-encoder,postinstall script,3
@ensdomains/blacklist,1.0.1,medium,1000,2025-09-15,false,Compromised package: @ensdomains/blacklist,postinstall script,3
@ensdomains/buffer,0.1.2,medium,1000,2025-09-15,false,Compromised package: @ensdomains/buffer,postinstall script,3
@ensdomains/ccip-read-cf-worker,0.0.4,medium,1000,2025-09-15,false,Compromised package: @ensdomains/ccip-read-cf-worker,postinstall script,3
@ensdomains/ccip-read-dns-gateway,0.1.1,medium,1000,2025-09-15,false,Compromised package: @ensdomains/ccip-read-dns-gateway,postinstall script,3
@ensdomains/ccip-read-router,0.0.7,medium,1000,2025-09-15,false,Compromised package: @ensdomains/ccip-read-router,postinstall script,3
@ensdomains/ccip-read-worker-viem,0.0.4,medium,1000,2025-09-15,false,Compromised package: @ensdomains/ccip-read-worker-viem,postinstall script,3
@ensdomains/content-hash,3.0.1,medium,1000,2025-09-15,false,Compromised package: @ensdomains/content-hash,postinstall script,3
@ensdomains/curvearithmetics,1.0.1,medium,1000,2025-09-15,false,Compromised package: @ensdomains/curvearithmetics,postinstall script,3
@ensdomains/cypress-metamask,1.2.1,medium,1000,2025-09-15,false,Compromised package: @ensdomains/cypress-metamask,postinstall script,3
@ensdomains/dnsprovejs,0.5.3,medium,1000,2025-09-15,false,Compromised package: @ensdomains/dnsprovejs,postinstall script,3
@ensdomains/dnssec-oracle-anchors,0.0.2,medium,1000,2025-09-15,false,Compromised package: @ensdomains/dnssec-oracle-anchors,postinstall script,3
@ensdomains/dnssecoraclejs,0.2.9,medium,1000,2025-09-15,false,Compromised package: @ensdomains/dnssecoraclejs,postinstall script,3
@ensdomains/durin,0.1.2,medium,1000,2025-09-15,false,Compromised package: @ensdomains/durin,postinstall script,3
